SiteID,Species,SnailID,N_below_1_mm,N_1_2_mm,N_2_4_mm,N_4_6_mm,N_6_10_mm,N_above_10_mm
1,Cepaea_nemoralis,1A_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1B_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1C_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1D_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1E_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1F_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1G_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1H_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1I_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1J_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1K_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1L_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1M_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1N_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1O_Ce,0,0,0,0,0,0
1,Cepaea_nemoralis,1P_Ce,0,0,0,0,0,0
2,Cornu_aspersum,2A_Co,0,0,0,0,0,0
2,Cornu_aspersum,2B_Co,0,0,0,0,0,0
2,Cornu_aspersum,2C_Co,0,0,0,0,0,0
2,Cornu_aspersum,2D_Co,0,0,0,0,0,0
2,Cornu_aspersum,2E_Co,0,0,0,0,0,0
2,Cornu_aspersum,2F_Co,0,0,0,0,0,0
2,Cornu_aspersum,2G_Co,0,0,0,0,0,0
2,Cornu_aspersum,2H_Co,0,0,0,0,0,0
2,Cornu_aspersum,2I_Co,0,0,0,0,0,0
2,Cornu_aspersum,2J_Co,0,0,0,0,0,0
2,Cornu_aspersum,2K_Co,0,0,0,0,0,0
2,Cornu_aspersum,2L_Co,0,0,0,0,0,0
2,Cornu_aspersum,2M_Co,0,0,0,0,0,0
2,Cornu_aspersum,2N_Co,0,0,0,0,0,0
2,Cornu_aspersum,2O_Co,0,0,0,0,0,0
2,Cornu_aspersum,2P_Co,0,0,0,0,0,0
2,Cornu_aspersum,2Q_Co,0,0,0,0,0,0
2,Cornu_aspersum,2R_Co,0,0,0,0,0,0
2,Cornu_aspersum,2S_Co,0,0,0,0,0,0
2,Cornu_aspersum,2T_Co,0,0,0,0,0,0
3,Cornu_aspersum,3A_Co,0,0,0,0,0,0
3,Cornu_aspersum,3B_Co,0,0,0,0,0,0
3,Cornu_aspersum,3C_Co,0,0,0,0,0,0
3,Cornu_aspersum,3D_Co,0,0,0,0,0,0
3,Cornu_aspersum,3E_Co,0,0,0,0,0,0
3,Cornu_aspersum,3F_Co,0,0,0,0,0,0
3,Cornu_aspersum,3G_Co,0,0,0,0,0,0
3,Cornu_aspersum,3H_Co,0,0,0,0,0,0
3,Cornu_aspersum,3I_Co,0,0,0,0,0,0
3,Cornu_aspersum,3J_Co,0,0,0,0,0,0
3,Cornu_aspersum,3K_Co,0,0,0,0,0,0
3,Cornu_aspersum,3L_Co,0,0,0,0,0,0
3,Cornu_aspersum,3M_Co,0,0,0,0,0,0
3,Cornu_aspersum,3N_Co,0,0,0,0,0,0
3,Cornu_aspersum,3O_Co,0,0,0,0,0,0
3,Cornu_aspersum,3P_Co,0,0,0,0,0,0
3,Cornu_aspersum,3Q_Co,0,0,0,0,0,0
3,Cornu_aspersum,3R_Co,0,0,0,0,0,0
3,Cepaea_hortensis,3A_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3B_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3C_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3D_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3E_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3F_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3G_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3H_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3I_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3J_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3K_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3L_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3M_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3N_Ce,0,0,0,0,0,0
3,Cepaea_hortensis,3O_Ce,0,0,0,0,0,0
4,Cornu_aspersum,4A_Co,0,0,0,0,0,0
4,Cornu_aspersum,4B_Co,0,0,0,0,0,0
4,Cornu_aspersum,4C_Co,0,0,0,0,0,0
4,Cornu_aspersum,4D_Co,0,1,0,0,0,0
4,Cornu_aspersum,4E_Co,0,0,0,0,0,0
4,Cornu_aspersum,4F_Co,0,0,0,0,0,0
4,Cornu_aspersum,4G_Co,0,0,0,0,0,0
4,Cornu_aspersum,4H_Co,0,0,0,0,0,0
4,Cornu_aspersum,4I_Co,0,5,0,0,0,0
4,Cornu_aspersum,4J_Co,0,0,0,0,0,0
