SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
1,Cepaea_nemoralis,1A_Ce,2022-05-05,2022-05-12,FALSE,55,113.1,68,110.3,0.21,0.36
1,Cepaea_nemoralis,1B_Ce,2022-05-05,2022-05-12,FALSE,75,98.7,52,104.5,0.18,0.21
1,Cepaea_nemoralis,1C_Ce,2022-05-05,2022-05-12,FALSE,53,112.4,36,78.4,0.26,0.28
1,Cepaea_nemoralis,1D_Ce,2022-05-05,2022-05-12,FALSE,90,65.9,64,119.9,0.16,0.14
1,Cepaea_nemoralis,1E_Ce,2022-05-05,2022-05-12,FALSE,90,100,54,105.6,0.27,0.12
1,Cepaea_nemoralis,1F_Ce,2022-05-05,2022-05-12,FALSE,70,99.3,68,92.4,0.32,0.32
1,Cepaea_nemoralis,1G_Ce,2022-05-05,2022-05-12,FALSE,69,116.2,57,96.9,0.17,0.21
1,Cepaea_nemoralis,1H_Ce,2022-05-05,2022-05-12,FALSE,90,73,54,94.9,0.25,0.15
1,Cepaea_nemoralis,1I_Ce,2022-05-05,2022-05-12,FALSE,90,96.8,90,65.4,0.14,0.11
1,Cepaea_nemoralis,1J_Ce,2022-05-05,2022-05-12,FALSE,58,108.5,90,91.4,0.18,0.12
1,Cepaea_nemoralis,1K_Ce,2022-05-05,2022-05-12,FALSE,90,73,90,118.4,0.13,0.25
1,Cepaea_nemoralis,1L_Ce,2022-05-05,2022-05-12,FALSE,58,89.4,89,119.2,0.28,0.32
1,Cepaea_nemoralis,1M_Ce,2022-05-05,2022-05-12,FALSE,48,92,50,92.1,0.21,0.13
1,Cepaea_nemoralis,1N_Ce,2022-05-05,2022-05-12,FALSE,47,85.1,33,81.9,0.29,0.23
1,Cepaea_nemoralis,1O_Ce,2022-05-05,2022-05-12,FALSE,82,93.6,56,82.1,0.28,0.25
1,Cepaea_nemoralis,1P_Ce,2022-05-05,2022-05-12,FALSE,90,27.2,90,82.8,0.36,0.32
