SiteID,Species,SnailID,diameter_mm_1,diameter_mm_2
1,Cepaea_nemoralis,1A_Ce,20,19.8
1,Cepaea_nemoralis,1B_Ce,19.9,20
1,Cepaea_nemoralis,1C_Ce,20.1,20
1,Cepaea_nemoralis,1D_Ce,21.2,21.1
1,Cepaea_nemoralis,1E_Ce,22.3,22.3
1,Cepaea_nemoralis,1F_Ce,22.4,22.4
1,Cepaea_nemoralis,1G_Ce,20.8,20.8
1,Cepaea_nemoralis,1H_Ce,20,20.2
1,Cepaea_nemoralis,1I_Ce,20.3,20.2
1,Cepaea_nemoralis,1J_Ce,21,21.1
1,Cepaea_nemoralis,1K_Ce,19.5,19.4
1,Cepaea_nemoralis,1L_Ce,21.1,21.2
1,Cepaea_nemoralis,1M_Ce,20.4,20.4
1,Cepaea_nemoralis,1N_Ce,21.4,21.6
1,Cepaea_nemoralis,1O_Ce,20,19.9
1,Cepaea_nemoralis,1P_Ce,21.9,21.9
2,Cornu_aspersum,2A_Co,27.9,28.5
2,Cornu_aspersum,2B_Co,34.4,34.6
2,Cornu_aspersum,2C_Co,31.6,31.7
2,Cornu_aspersum,2D_Co,31.5,31.8
2,Cornu_aspersum,2E_Co,33.4,33.8
2,Cornu_aspersum,2F_Co,31.9,31.9
2,Cornu_aspersum,2G_Co,33,33.4
2,Cornu_aspersum,2H_Co,27,27.3
2,Cornu_aspersum,2I_Co,28.9,29
2,Cornu_aspersum,2J_Co,29.6,29.7
2,Cornu_aspersum,2K_Co,28.6,29.1
2,Cornu_aspersum,2L_Co,31.3,31.6
2,Cornu_aspersum,2M_Co,28.3,28.8
2,Cornu_aspersum,2N_Co,29.7,30.2
2,Cornu_aspersum,2O_Co,29.8,30.5
2,Cornu_aspersum,2P_Co,30.1,29.9
2,Cornu_aspersum,2Q_Co,28.5,28.4
2,Cornu_aspersum,2R_Co,28.6,29
2,Cornu_aspersum,2S_Co,30.1,30.5
2,Cornu_aspersum,2T_Co,32.4,32.4
3,Cornu_aspersum,3A_Co,32.9,33
3,Cornu_aspersum,3B_Co,29.4,29.3
3,Cornu_aspersum,3C_Co,26.6,26.6
3,Cornu_aspersum,3D_Co,30.6,30.7
3,Cornu_aspersum,3E_Co,30.7,30.8
3,Cornu_aspersum,3F_Co,32.2,32.4
3,Cornu_aspersum,3G_Co,31,31.2
3,Cornu_aspersum,3H_Co,31.5,31.3
3,Cornu_aspersum,3I_Co,32.7,32.7
3,Cornu_aspersum,3J_Co,30,30.3
3,Cornu_aspersum,3K_Co,32.1,32.3
3,Cornu_aspersum,3L_Co,32.5,32.5
3,Cornu_aspersum,3M_Co,30.9,31.1
3,Cornu_aspersum,3N_Co,33,33
3,Cornu_aspersum,3O_Co,36.1,35.9
3,Cornu_aspersum,3P_Co,31.2,31.2
3,Cornu_aspersum,3Q_Co,32.2,32.1
3,Cornu_aspersum,3R_Co,32.5,32.4
3,Cepaea_hortensis,3A_Ce,20.2,20.1
3,Cepaea_hortensis,3B_Ce,17.5,17.5
3,Cepaea_hortensis,3C_Ce,17.9,17.9
3,Cepaea_hortensis,3D_Ce,18,17.9
3,Cepaea_hortensis,3E_Ce,19.2,19.1
3,Cepaea_hortensis,3F_Ce,18,18
3,Cepaea_hortensis,3G_Ce,19,18.9
3,Cepaea_hortensis,3H_Ce,17.9,17.8
